MedCodeID,Description
308619010,Contact dermatitis due to radiation
3822911000006114,Contact dermatitis caused by radiation
3826651000006115,Contact dermatitis caused by mercurial
590931000006119,Contact dermatitis due to mercurial
137914019,Contact dermatitis due to iodine
3853241000006112,Contact dermatitis caused by iodine
138508015,Contact dermatitis due to nylon
3858921000006116,Contact dermatitis caused by nylon
3889921000006116,Contact dermatitis due to jewelry
3889941000006111,Contact dermatitis caused by jewelry
3889931000006118,Contact dermatitis caused by jewellery
506552014,Contact dermatitis due to jewellery
308526016,Contact dermatitis due to medicament NOS
3899051000006113,Contact dermatitis caused by drugs AND/OR medicine
590701000006112,Contact dermatitis due to drugs AND/OR medicine
3899041000006111,Dermatitis medicamentosa (drug applied to skin)
3941791000006119,Subacute contact dermatitis
4020221000006112,Contact dermatitis caused by chromium
4020211000006116,Contact dermatitis due to chromium
4020241000006117,Contact dermatitis caused by nickel
674911000006116,Contact dermatitis due to nickel
889221000006119,Contact dermatitis: chemicals
889201000006112,Contact dermatitis/eczema
